TYPE,CONTENT,DATE,PRIORITY,INDENT
section,Day 1,2025-04-09,,
task,Mathematics: Complex Numbers (Lecture 1),2025-04-09,,1
task,Mathematics: Complex Numbers (Lecture 2),2025-04-09,,1
task,Mathematics: Complex Numbers (Lecture 3),2025-04-09,,1
task,Physics: Ray Optics (Lecture 1),2025-04-09,,1
task,Physics: Ray Optics (Lecture 2),2025-04-09,,1
task,Physics: Ray Optics (Lecture 3),2025-04-09,,1
task,Chemistry: Thermodynamics (Lecture 1),2025-04-09,,1
task,Chemistry: Thermodynamics (Lecture 2),2025-04-09,,1
task,Chemistry: Thermodynamics (Lecture 3),2025-04-09,,1
task,Chemistry: Thermodynamics (Lecture 4),2025-04-09,,1
section,Day 2,2025-04-10,,
task,Mathematics: Complex Numbers (Lecture 4),2025-04-10,,1
task,Mathematics: Complex Numbers (Lecture 5),2025-04-10,,1
task,Mathematics: Complex Numbers (Lecture 6),2025-04-10,,1
task,Physics: Ray Optics (Lecture 4),2025-04-10,,1
task,Physics: Ray Optics (Lecture 5),2025-04-10,,1
task,Physics: Ray Optics (Lecture 6),2025-04-10,,1
task,Chemistry: Chemical Bonding (Lecture 1),2025-04-10,,1
task,Chemistry: Chemical Bonding (Lecture 2),2025-04-10,,1
task,Chemistry: Chemical Bonding (Lecture 3),2025-04-10,,1
task,Chemistry: Chemical Bonding (Lecture 4),2025-04-10,,1
section,Day 3,2025-04-11,,
task,Mathematics: Complex Numbers (Lecture 7),2025-04-11,,1
task,Mathematics: Complex Numbers (Lecture 8),2025-04-11,,1
task,Mathematics: Complex Numbers (Lecture 9),2025-04-11,,1
task,Physics: Ray Optics (Lecture 7),2025-04-11,,1
task,Physics: Ray Optics (Lecture 8),2025-04-11,,1
task,Physics: Ray Optics (Lecture 9),2025-04-11,,1
task,Chemistry: Chemical Bonding (Lecture 5),2025-04-11,,1
task,Chemistry: Chemical Bonding (Lecture 6),2025-04-11,,1
task,Chemistry: Chemical Bonding (Lecture 7),2025-04-11,,1
task,Chemistry: Chemical Bonding (Lecture 8),2025-04-11,,1
section,Day 4,2025-04-12,,
task,Mathematics: Complex Numbers (Lecture 10),2025-04-12,,1
task,Mathematics: Complex Numbers (Lecture 11),2025-04-12,,1
task,Mathematics: Complex Numbers (Lecture 12),2025-04-12,,1
task,Mathematics: Complex Numbers (Lecture 13),2025-04-12,,1
task,Physics: Ray Optics (Lecture 10),2025-04-12,,1
task,Physics: Ray Optics (Lecture 11),2025-04-12,,1
task,Physics: Ray Optics (Lecture 12),2025-04-12,,1
task,Chemistry: Chemical Bonding (Lecture 9),2025-04-12,,1
task,Chemistry: Chemical Bonding (Lecture 10),2025-04-12,,1
task,Chemistry: Chemical Bonding (Lecture 11),2025-04-12,,1
section,Day 5,2025-04-13,,
task,Mathematics: Probability (Lecture 1),2025-04-13,,1
task,Mathematics: Probability (Lecture 2),2025-04-13,,1
task,Mathematics: Probability (Lecture 3),2025-04-13,,1
task,Physics: Ray Optics (Lecture 13),2025-04-13,,1
task,Physics: Ray Optics (Lecture 14),2025-04-13,,1
task,Physics: Ray Optics (Lecture 15),2025-04-13,,1
task,Chemistry: Chemical Bonding (Lecture 12),2025-04-13,,1
task,Chemistry: Chemical Bonding (Lecture 13),2025-04-13,,1
task,Chemistry: Chemical Bonding (Lecture 14),2025-04-13,,1
task,Chemistry: Chemical Bonding (Lecture 15),2025-04-13,,1
section,Day 6,2025-04-14,,
task,Mathematics: Probability (Lecture 4),2025-04-14,,1
task,Mathematics: Probability (Lecture 5),2025-04-14,,1
task,Mathematics: Probability (Lecture 6),2025-04-14,,1
task,Physics: Fluids (Lecture 1),2025-04-14,,1
task,Physics: Fluids (Lecture 2),2025-04-14,,1
task,Physics: Fluids (Lecture 3),2025-04-14,,1
task,Chemistry: Chemical Bonding (Lecture 16),2025-04-14,,1
task,Chemistry: Chemical Bonding (Lecture 17),2025-04-14,,1
task,Chemistry: Chemical Bonding (Lecture 18),2025-04-14,,1
task,Chemistry: Chemical Bonding (Lecture 19),2025-04-14,,1
section,Day 7,2025-04-15,,
task,Mathematics: Probability (Lecture 7),2025-04-15,,1
task,Mathematics: Probability (Lecture 8),2025-04-15,,1
task,Mathematics: Probability (Lecture 9),2025-04-15,,1
task,Mathematics: Probability (Lecture 10),2025-04-15,,1
task,Physics: Fluids (Lecture 4),2025-04-15,,1
task,Physics: Fluids (Lecture 5),2025-04-15,,1
task,Physics: Fluids (Lecture 6),2025-04-15,,1
task,Chemistry: Chemical Bonding (Lecture 20),2025-04-15,,1
task,Chemistry: Chemical Bonding (Lecture 21),2025-04-15,,1
task,Chemistry: Chemical Bonding (Lecture 22),2025-04-15,,1
section,Day 8,2025-04-16,,
task,Mathematics: Conic Sections (Lecture 1),2025-04-16,,1
